AUTHOR,TITLE,YEAR,SOURCE,DIVISION,PUB_TYPE,KEYWORDS,LINK
"Fox MD, Guillaume-Castel R, Edwards CB, Glanz J, Gove JM, Mattias Green JA, Juhlin E, Smither J, Williams GJ",Ocean currents magnify upwelling and deliver nutritional subsidies to reef-building corals during El Niño heatwaves,2023,"Science Advances, 9 (24)",ESD,Journal,,https://www.science.org/doi/10.1126/sciadv.add5032
"Siders ZA, Ahrens NM, Martin S, Camp EV, Gaos AR, Wang JH, Marchetti J, Jones TT",Evaluation of a long-term information tool reveals continued suitability for identifying bycatch hotspots but little effect on fisher location choice,2023,Biological Conservation. Volume 279: 109912,FRMD:PSD,Journal,,https://doi.org/10.1016/j.biocon.2023.109912
"Schmidt AL, Whitney JL, Suca J, Tanaka K",Larval ecology of uku (Aprion virescens) in the main Hawaiian Islands: a review from historical data,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-145, 71 p",ESD,Tech Memo,,https://doi.org/10.25923/aevx-hr06
"Cooper B, McCracken M","Estimation of Bycatch with Bony Fish, Sharks, and Rays in the 2022 Hawaii Permitted Shallow-set Longline Fishery",2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-11, 1 p",FRMD,Data Report,,https://doi.org/10.25923/b1wd-5430
"Reed EM, Brown-Peterson NJ, DeMartini EE and Andrews AH","Effects of data sources and biological criteria on length-at-maturity estimates and spawning periodicity of the commercially important Hawaiian snapper, Etelis coruscans",2023,Front. Mar. Sci. 10:1102388.,FRMD,Journal,,https://doi.org/10.3389/fmars.2023.1102388
"Siders ZA, Martin SL, Ahrens RNM, Littnan C, Jones TT",Update to NOAA Technical Memorandum  NMFS-PIFSC-101: incorporating uncertainty in maturation and latest fishery takes,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-03, 14 p",PSD,Internal Report,,
"Gajdzik L, Ingeman K, Kindinger TL, Oliver T",Spatiotemporal trends in benthic and reef fish communities in the Mariana Archipelago,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-152, 45 p",ESD,Tech Memo,,https://doi.org/10.25923/7efh-qt23
"Dombrow C, Hospital J",Economic and Social Characteristics of the American Samoa Small Boat Fishery 2021,2023,"Pacific Islands Fisheries Science Center, PIFSC Administrative Report, H-23-05, 92 p",ESD,Admin Report,,https://doi.org/10.25923/hqca-xs29
"Barkley HC, Weible RM, Halperin AA, Alagata CE, Kindinger TL, Torres-Pulliza D, Lamirand MS, Huntington BE, Couch CS, Amir CG, et al",Carbonate budget assessments in the U.S. Pacific Islands: report of methods comparison results and summary of standard operating procedures,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-154, 79 p",ESD,Tech Memo,,https://doi.org/10.25923/g4hg-7686
"Ayers A, Leong K, Hospital J, Tam C, Morioka C",2022 Hawaii Fisher Observations Data Summary and Analysis,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-12, 24 p",ESD,Data Report,,https://doi.org/10.25923/qv15-dm14
Stahl J,The American Samoa Longline Limited-entry Fishery Semi-annual Report 1 January-30 June 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-28, 2 p",FRMD,Data Report,,https://doi.org/10.25923/tnrj-0b66
Stahl J,The American Samoa Longline Limited-entry Fishery Semi-annual Report 1 July-31 December 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-27, 2 p",FRMD,Data Report,,https://doi.org/10.25923/tsm9-3981
Stahl J,The American Samoa Longline Limited-entry Fishery Quarterly Report 1 January-31 March 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-26, 2 p",FRMD,Data Report,,https://doi.org/10.25923/7ksv-x489
Stahl J,The American Samoa Longline Limited-entry Fishery Quarterly Report 1 April-30 June 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-25, 2 p",FRMD,Data Report,,https://doi.org/10.25923/6hr0-1446
Stahl J,The American Samoa Longline Limited-entry Fishery Quarterly Report 1 July-30 September 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-24, 2 p",FRMD,Data Report,,https://doi.org/10.25923/s61p-6t50
Stahl J,The American Samoa Longline Limited-entry Fishery Quarterly Report 1 October-31 December 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-23, 2 p",FRMD,Data Report,,https://doi.org/10.25923/8mbw-7b86
Stahl J,The American Samoa Longline Limited-entry Fishery Annual Report 1 January-31 December 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-22, 12 p",FRMD,Data Report,,https://doi.org/10.25923/8bhb-2250
"Ransome N, Frisch-Jordán A, Titova OV, Filatova OA and others",A trans-Pacific movement reveals regular migrations of humpback whales Megaptera novaeangliae between Russia and Mexico,2023,Endangered Species Research. 52:65-79,PSD,Journal,,https://doi.org/10.3354/esr01263
"Iwane M, Levine A","2009-2010 CNMI Elder Fisher Perceptions of nearshore marine resource use, change, and management",2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-20, 43 p",ESD,Data Report,,https://doi.org/10.25923/5ajh-hr51
"Drazen JC, Clark BH, Gove JM, Phipps JE, Copeland AM, Lecky J, Green JAM, Kobayashi DR, Turner JR,Whitney JL, Williams GJ",Near-island enhancement in mesopelagic micronekton assemblages off Hawai'i,2023,"Deep Sea Research Part I: Oceanographic Research Papers,
199: 104107",ESD,Journal,,https://doi.org/10.1016/j.dsr.2023.104107
"Ziegenhorn, M.A., Hildebrand, J.A., Oleson, E.M. et al",Odontocete detections are linked to oceanographic conditions in the Hawaiian Archipelago,2023,"Commun Earth Environ 4, 423",PSD,Journal,,https://doi.org/10.1038/s43247-023-01088-7
Pacific Islands Fisheries Science Center,Programmatic Environmental Assessment for Fisheries and Ecosystem Research Conducted and Funded by the Pacific Islands Fisheries Science Center,2023,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-23-02, 1069 p",SOD,Special Publication,,https://doi.org/10.25923/CTTT-1Y06
"Richardson LE, Heenan A, Delargy AJ, Neubauer P, Lecky J, Gove JM,Mattias Green JAM, Kindinger TL, Ingeman KE, Williams GJ",Local human impacts disrupt depth-dependent zonation of tropical reef fish communities,2023,Nat Ecol Evol (2023),ESD,Journal,,https://doi.org/10.1038/s41559-023-02201-x
"Zamborain-Mason J, Cinner JE, MacNeil MA, Graham NAJ, Hoey AS, Beger M, Brooks AJ, Booth DJ, Edgar GJ, Feary DA, Ferse SCA, Friedlander AM,Gough CLA, Green AL, Mouillot D, Polunin NVC,Stuart-Smith RD, Wantiez L, Williams ID, Wilson SK, Connolly SR",Sustainable reference points for multispecies coral reef fisheries,2023,Sustainable reference points for multispecies coral reef fisheries,ESD,Journal,,https://doi.org/10.1038/s41467-023-41040-z
"Ingeman K., Kindinger TL",Guam JCR-FMP: PIFSC ESD Analysis,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-148, 24 p",ESD,Tech Memo,,https://doi.org/10.25923/352q-sk62
Chan HL,"Economic Contributions of U.S. Commercial Fisheries in American
Samoa",2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-151, 35 p",FRMD,Tech Memo,,https://doi.org/10.25923/x904-a830
"McCoy KS, Kindinger TL",Ecological monitoring 2022—reef fishes of the Mariana Archipelago,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-19, 34 p",ESD,Data Report,,https://doi.org/10.25923/5933-k437
Mercer T,"Causes of Death in Hawaiian monk seals in the main Hawaiian Islands, 2021 - 2022",2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-06, 4 p",PSD,Internal Report,,
Hospital J,Assessment of potential costs associated with future monument expansion area fishing trips,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-05, 13p",ESD,Internal Report,,
"Baker J, Harting B, Johanos-Kam T, Mercer T,",Hawaiian Monk Seal Population Summary 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-04, 38 p",PSD,Internal Report,,
"Iwane M, Cruz E, Sabater M",2023 Guam bottomfish management unit species data workshops,2023,"Pacific Islands Fisheries Science Center, PIFSC Administrative Report, H-23-07, 69 p",ESD,Admin Report,,https://doi.org/10.25923/6ghm-dn93
"McCracken M, Cooper B","Estimation of Bycatch with Bony Fish, Sharks, and Rays in the 
2022 Hawaiʻi Permitted Deep-Set Longline Fishery",2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-07, 1 p",FRMD,Data Report,,https://doi.org/10.25923/mfmp-fq29
"McCracken M, Cooper B","Estimation of Bycatch with Seabirds, Sea Turtles, Bony Fish, Sharks, and Rays in the 2022 Permitted American Sāmoa Longline Fishery",2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-06, 1 p",FRMD,Data Report,,https://doi.org/10.25923/mrva-ab86
"McCracken M, Cooper B","Hawaiʻi Longline Fishery 2022 Seabird and Sea Turtle Bycatch for 
the Entire Fishing Grounds, Within the IATTC Convention Area, and Seabird Bycatch to the North of 23° N and 23 °N–30° S",2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-05, 5 p",FRMD,Data Report,,https://doi.org/10.25923/z0nq-rf96
"McCracken M, Cooper B",Assessment of Incidental Interactions with False Killer Whales inside the Hawaiʻi Pelagic False Killer Whale Management Area in the Hawaiʻi Longline Deep- and Shallow-set Fisheries from 2017 through 2021,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-10, 1 p",FRMD,Data Report,,https://doi.org/10.25923/7j4f-yj03
"Whitney JL, Coleman RR, Deakos MH",Genomic evidence indicates small island-resident populations and sex-biased behaviors of Hawaiian reef Manta Rays,2023,"BMC Ecol Evo 23, 31",ESD,Journal,,https://doi.org/10.1186/s12862-023-02130-0
"Abrams KM, Molder AL, Nankey P, Leong K","Encouraging respectful wildlife viewing among tourists: Roles for social marketing, regulatory information, symbolic barriers, and enforcement",2023,"Social Marketing Quarterly, 29(1), 67-86.",ESD,Journal,,https://doi.org/10.1177/15245004231153085
"Taboada FG, Park JY, Muhling BA, Tommasi D, Tanaka KR, Rykaczewski RR, Stock CA, Sarmiento JL",Anticipating fluctuations of bigeye tuna in the Pacific Ocean from three-dimensional ocean biogeochemistry,2023,"Journal of Applied Ecology, 00, 1-17",ESD,Journal,,https://doi.org/10.1111/1365-2664.14346
"Fisheries Reporting and Bycatch Program Pacific Islands Fisheries Science Center, NMFS",Catch and effort of PIR longline vessels inside PRIA EEZ,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-09 3 p",FRMD,Data Report,,https://doi.org/10.25923/cc42-4y51
"Ahrens R, Crigler E, Lecky J",Fishing Area Closures in the U.S. EEZ and the Impact on Purse Seine and Longline Fishing Effort and Catch,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-08, 8 p",FRMD,Data Report,,https://doi.org/10.25923/zs37-zf12
"Southall BL, et al",Behavioural responses of fin whales to military mid-frequency active sonar,2023,.R.  Soc.  Open  Sci.10:231775,PSD,Journal,,https://doi.org/10.1098/rsos.231775
"Whitney JL, Coleman RR, Deakos MH",Genomic evidence indicates small island-resident populations and sex-biased behaviors of Hawaiian reef Manta Rays,2023,"BMC Ecol Evo 23, 31",ESD,Journal,,https://doi.org/10.1186/s12862-023-02130-0
"Perng LY, Walden J, Leong KM, DePiper GS, Speir C, Blake S, Norman K, Kasperski S, Weijerman M, Oleson KLL",Identifying social thresholds and measuring social achievement in social-ecological systems: A cross-regional comparison of fisheries in the United States,2023,"Marine Policy,152:105595,",ESD,Journal,,https://doi.org/10.1016/j.marpol.2023.105595
"Miller-Greene D, Rollo A, Demarke C,  
Koyanagi K, Wong K",Marine Optical Imagery FY22 Annual Report,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-08, 14 p",SOD,Internal Report,,
Kindinger T,Kahekili Herbivore Fisheries Management Area: 2022 Results,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-07, 2p",ESD,Internal Report,,
"Stahl JP, Tucker JB, Hawn LA, Bradford AL",The role of electronic monitoring in assessing post-release mortality of protected species in pelagic longline fisheries,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-147, 38 p",FRMD,Tech Memo,,https://doi.org/10.25923/zxfv-5b50
"Fisk J, Matagi N, Kleiber D",Gleaning the expanse: Gender and invisibilised dimensions of fisheries in American Samoa,2023,"Women in Fisheries Information Bulletin, 37:7-10",ESD,Journal,,
"Ransome N, Frisch-Jordán A, Titova OV, Filatova OA, Hill MC, Cheeseman T, Bradford AL, Urbán J, Martínez-Loustalot P, Calambokidis J, Medrano-González L, Burdin AM, Fedutin ID, Loneragan NR, Smith JN",A trans-Pacific movement reveals regular migrations of humpback whales Megaptera novaeangliae between Russia and Mexico,2023,Endang Species Res 52:65-79,PSD,Journal,,https://doi.org/10.3354/esr01263
"Bradford A, Lyman EG",Injury determinations for Humpback Whales and other cetaceans reported to NOAA Response Networks in the Hawaiian Islands during 2020,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-01, 4 p",PSD,Data Report,,https://doi.org/10.25923/gg49-5k67
"Chan, HL",Economic and social characteristics of the Hawaii small boat fishery 2021,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-138, 177 p",ESD,Tech Memo,,https://doi.org/10.25923/2s7e-7m45
"Oram R, Wong K, Koyanagi K, Norris E, Andrade R, Gonzalez A, Park N, Romanelli J, Taylor J",MAKER Lab FY 2022 Annual Report,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-23-01, 10 p",SOD,Internal Report,,
"Nakachi A, Leong K, Mastitski A, Norman K, Weng C, Wise S",Compilation of fishing definitions in NOAA Fisheries law and policy,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-16, 43 p",ESD,Data Report,,https://doi.org/10.25923/tkqr-bq21
"Couch CS, Oliver TA, Dettloff K, Huntington B, Tanaka KR and Vargas-Ángel B",Ecological and environmental predictors of juvenile coral density across the central and western Pacific,2023,Front. Mar. Sci. 10:1192102,ESD,Journal,,http://doi.org/10.3389/fmars.2023.1192102
"McCracken M, Cooper B",Assessment of Incidental Interactions with False Killer Whales inside the Hawaiʻi Pelagic False Killer Whale Management Area in the Hawaiʻi Longline Deep- and Shallow-set Fisheries from 2017 through 2021,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-10, 1 p",FRMD,Data Report,,https://doi.org/10.25923/7j4f-yj03
"Oram R, Wong K, Koyanagi K, Romanelli J, Taylor J. Norris E, Lloyd-Lim C, Andrade R, Park N",MAKER Lab FY2023 Annual Report,2023,"Pacific Islands Fisheries Science Center, PIFSC Internal Report,
IR-23-11, 20p",SOD,Internal Report,,
Ito R,The Hawaii - California Pelagic Longline Vessels Semi-annual Report 1 January–30 June 2022,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-35, 6 p",FRMD,Data Report,,https://doi.org/10.25923/mqx3-n517
"Amir C, Oliver T, Lamirand M, Couch C",Measuring coral vital rates using TagLab semi-automatic coral segmentation and temporal linking across fixed sites: standard operating procedures and time savings estimates,2023,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-139, 32 p",ESD,Tech Memo,,https://doi.org/10.25923/s2ym-tn10
"Ziegenhorn MA, Hildebrand J.A, Oleson EM, Baird RW, Wiggins SM, Baumann-Pickering S",Odontocete spatial patterns and temporal drivers of detection at sites in the Hawaiian islands,2023,"Ecology and Evolution, 13, e9688.",PSD,Journal,,https://doi.org/10.1002/ece3.9688
Crigler E,Protected species interactions in Pacific Islands Region longline and purse seine fisheries inside Pacific Island Remote Area Exclusive Economic Zones,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-21, 9p",FRMD,Data Report,,https://doi.org/10.25923/8qzk-6q11
"Adams A, Leong K, Brooks J",Perceptions of responsibility for changes in reef and coastal ecosystems among West Hawaii beachgoers,2023,"Pacific Islands Fisheries Science Center, PIFSC Administrative Report, H-23-01, 23 p",ESD,Admin Report,,https://doi.org/10.25923/nv9z-zp17
"Baumann-Pickering S, Trickey, JS, Solsona-Berga A, Rice A, Oleson EM, Hildebrand JA, Frasier KE",Geographic differences in Blainville's beaked whale (Mesoplodon densirostris) echolocation clicks,2023,"Diversity and Distributions, 29, 478–491",PSD,Journal,,https://doi.org/10.1111/ddi.13673
"Mahaffy SD, Baird RW, Harnish AE, Cullins T, Stack SH, Currie  JJ, Bradford AL, Salden DR, Martien KK",Identifying Social Clusters of Endangered Main Hawaiian Islands False Killer Whales,2023,Endangered Species Research 51:249-268,PSD,Journal,,https://doi.org/10.3354/esr01258
"Schemmel E, Brown-Peterson NJ",Handling Effects on Histological Identification of Female Reproductive Status: Examples from Tropical Deepwater Snappers,2023,Fishes. 2023; 8(8):406,FRMD,Journal,,https://doi.org/10.3390/fishes8080406
"Fisheries Research and Monitoring Division
Pacific Islands Fisheries Science Center",USA purse seine vessels operating in the Western and Central Pacific Fisheries Commission area,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-15, 2 p",FRMD,Data Report,,https://doi.org/10.25923/w720-2k96
"Fisheries Research and Monitoring Division
Pacific Islands Fisheries Science Center",Economic value of longline catch in the PRIA,2023,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-23-17, 2p",FRMD,Data Report,,https://doi.org/10.25923/qjcc-mn28
